,timestamp_mdf,GPS_Week,GPS_Seconds,Latitude_deg,Longitude_deg,Height_m,Undulation_m,North_Velocity_m_invert_s,East_Velocity_m_invert_s,Up_Velocity_m_invert_s,Roll_deg,Pitch_deg,Azimuth_deg,INS_Status,Latitude_Sigma,Longitude_Sigma,Height_Sigma,North_Vel_Sigma,East_Vel_Sigma,Up_Vel_Sigma,Roll_Sigma,Pitch_Sigma,Azimuth_Sigma
32,1645015683309393.0,,,,,,,,,,,,,,,,,,,,,,
33,1645015683319500.8,,,,,,,,,,,,,,,,,,,,,,
34,1645015683329435.5,,,,,,,,,,,,,,,,,,,,,,
35,1645015683339502.0,,,,,,,,,,,,,,,,,,,,,,
36,1645015683366625.8,,,,,,,,,,,,,,,,,,,,,,
37,1645015683370266.8,,,,,,,,,,,,,,,,,,,,,,
38,1645015683379774.5,,,,,,,,,,,,,,,,,,,,,,
39,1645015683380408.5,,,,,,,,,,,,,,,,,,,,,,
40,1645015683381044.2,,,,,,,,,,,,,,,,,,,,,,
41,1645015683389643.0,,,,,,,,,,,,,,,,,,,,,,
42,1645015683403506.0,,,,,,,,,,,,,,,,,,,,,,
43,1645015683409530.8,,,,,,,,,,,,,,,,,,,,,,
44,1645015683419820.5,,,,,,,,,,,,,,,,,,,,,,
45,1645015683429701.5,,,,,,,,,,,,,,,,,,,,,,
46,1645015683440196.0,,,,,,,,,,,,,,,,,,,,,,
47,1645015683449440.0,,,,,,,,,,,,,,,,,,,,,,
48,1645015683459648.2,,,,,,,,,,,,,,,,,,,,,,
49,1645015683469434.8,,,,,,,,,,,,,,,,,,,,,,
50,1645015683479787.0,,,,,,,,,,,,,,,,,,,,,,
51,1645015683489386.5,,,,,,,,,,,,,,,,,,,,,,
52,1645015683499393.0,,,,,,,,,,,,,,,,,,,,,,
53,1645015683509838.5,,,,,,,,,,,,,,,,,,,,,,
54,1645015683519488.0,,,,,,,,,,,,,,,,,,,,,,
55,1645015683529346.5,,,,,,,,,,,,,,,,,,,,,,
56,1645015683540383.8,,,,,,,,,,,,,,,,,,,,,,
57,1645015683549448.2,,,,,,,,,,,,,,,,,,,,,,
58,1645015683559418.2,,,,,,,,,,,,,,,,,,,,,,
59,1645015683569462.8,,,,,,,,,,,,,,,,,,,,,,
60,1645015683579687.0,,,,,,,,,,,,,,,,,,,,,,
61,1645015683589351.2,,,,,,,,,,,,,,,,,,,,,,
62,1645015683599393.8,,,,,,,,,,,,,,,,,,,,,,
63,1645015683609468.2,,,,,,,,,,,,,,,,,,,,,,
64,1645015683619477.0,,,,,,,,,,,,,,,,,,,,,,
65,1645015683629365.0,,,,,,,,,,,,,,,,,,,,,,
66,1645015683639461.0,,,,,,,,,,,,,,,,,,,,,,
67,1645015683649365.8,,,,,,,,,,,,,,,,,,,,,,
68,1645015683659549.2,,,,,,,,,,,,,,,,,,,,,,
69,1645015683669517.8,,,,,,,,,,,,,,,,,,,,,,
70,1645015683679418.2,,,,,,,,,,,,,,,,,,,,,,
71,1645015683689377.2,,,,,,,,,,,,,,,,,,,,,,
72,1645015683699822.5,,,,,,,,,,,,,,,,,,,,,,
73,1645015683709366.8,,,,,,,,,,,,,,,,,,,,,,
74,1645015683719421.5,,,,,,,,,,,,,,,,,,,,,,
75,1645015683729414.2,,,,,,,,,,,,,,,,,,,,,,
76,1645015683739321.0,,,,,,,,,,,,,,,,,,,,,,
77,1645015683749404.8,,,,,,,,,,,,,,,,,,,,,,
78,1645015683759506.8,,,,,,,,,,,,,,,,,,,,,,
79,1645015683769491.5,,,,,,,,,,,,,,,,,,,,,,
80,1645015683779399.8,,,,,,,,,,,,,,,,,,,,,,
81,1645015683789444.8,,,,,,,,,,,,,,,,,,,,,,
82,1645015683799347.2,,,,,,,,,,,,,,,,,,,,,,
83,1645015683809363.8,,,,,,,,,,,,,,,,,,,,,,
84,1645015683819650.5,,,,,,,,,,,,,,,,,,,,,,
85,1645015683829385.2,,,,,,,,,,,,,,,,,,,,,,
86,1645015683839384.8,,,,,,,,,,,,,,,,,,,,,,
87,1645015683849607.8,,,,,,,,,,,,,,,,,,,,,,
88,1645015683859826.0,,,,,,,,,,,,,,,,,,,,,,
89,1645015683869433.0,,,,,,,,,,,,,,,,,,,,,,
90,1645015683879590.2,,,,,,,,,,,,,,,,,,,,,,
91,1645015683889407.8,,,,,,,,,,,,,,,,,,,,,,
92,1645015683899377.5,,,,,,,,,,,,,,,,,,,,,,
93,1645015683909527.5,,,,,,,,,,,,,,,,,,,,,,
94,1645015683919617.2,,,,,,,,,,,,,,,,,,,,,,
95,1645015683929412.2,,,,,,,,,,,,,,,,,,,,,,
96,1645015683939547.2,,,,,,,,,,,,,,,,,,,,,,
97,1645015683949421.8,,,,,,,,,,,,,,,,,,,,,,
98,1645015683959409.2,,,,,,,,,,,,,,,,,,,,,,
99,1645015683969481.5,,,,,,,,,,,,,,,,,,,,,,
100,1645015683979348.8,,,,,,,,,,,,,,,,,,,,,,
101,1645015683990383.0,,,,,,,,,,,,,,,,,,,,,,
102,1645015683999728.5,,,,,,,,,,,,,,,,,,,,,,
103,1645015684009421.2,,,,,,,,,,,,,,,,,,,,,,
104,1645015684019364.0,,,,,,,,,,,,,,,,,,,,,,
105,1645015684029461.5,,,,,,,,,,,,,,,,,,,,,,
106,1645015684039382.5,,,,,,,,,,,,,,,,,,,,,,
107,1645015684049365.5,,,,,,,,,,,,,,,,,,,,,,
108,1645015684059587.2,,,,,,,,,,,,,,,,,,,,,,
109,1645015684069321.2,,,,,,,,,,,,,,,,,,,,,,
110,1645015684080342.5,,,,,,,,,,,,,,,,,,,,,,
111,1645015684089471.2,,,,,,,,,,,,,,,,,,,,,,
112,1645015684099397.2,,,,,,,,,,,,,,,,,,,,,,
113,1645015684109403.2,,,,,,,,,,,,,,,,,,,,,,
114,1645015684119520.8,,,,,,,,,,,,,,,,,,,,,,
115,1645015684129370.0,,,,,,,,,,,,,,,,,,,,,,
116,1645015684140604.2,,,,,,,,,,,,,,,,,,,,,,
117,1645015684149472.0,,,,,,,,,,,,,,,,,,,,,,
118,1645015684159357.0,,,,,,,,,,,,,,,,,,,,,,
119,1645015684169406.0,,,,,,,,,,,,,,,,,,,,,,
120,1645015684179495.8,,,,,,,,,,,,,,,,,,,,,,
121,1645015684189698.2,,,,,,,,,,,,,,,,,,,,,,
122,1645015684199428.2,,,,,,,,,,,,,,,,,,,,,,
123,1645015684209392.0,,,,,,,,,,,,,,,,,,,,,,
124,1645015684219368.5,,,,,,,,,,,,,,,,,,,,,,
125,1645015684229447.8,,,,,,,,,,,,,,,,,,,,,,
126,1645015684239732.2,,,,,,,,,,,,,,,,,,,,,,
127,1645015684249393.0,,,,,,,,,,,,,,,,,,,,,,
128,1645015684259439.8,,,,,,,,,,,,,,,,,,,,,,
129,1645015684269371.0,,,,,,,,,,,,,,,,,,,,,,
130,1645015684279379.8,,,,,,,,,,,,,,,,,,,,,,
131,1645015684289393.2,,,,,,,,,,,,,,,,,,,,,,
132,1645015684299374.5,,,,,,,,,,,,,,,,,,,,,,
